timestamp,unix_time,cpu_load,ram_usage,ambient_temp,cpu_temp
2026-01-31 17:03:33,1769859213,61.7,24.7,24.91,91.88
2026-01-31 17:03:35,1769859215,83.2,24.7,24.88,92.5
2026-01-31 17:03:36,1769859216,1.3,24.5,24.85,88.62
2026-01-31 17:03:38,1769859218,100.0,24.6,24.82,88.62
2026-01-31 17:03:39,1769859219,90.8,24.6,24.8,90.5
2026-01-31 17:03:41,1769859221,99.8,24.6,24.77,91.88
2026-01-31 17:03:42,1769859222,92.7,24.6,24.74,92.5
2026-01-31 17:03:44,1769859224,92.3,24.6,24.71,91.88
2026-01-31 17:03:45,1769859225,100.0,24.6,24.68,91.62
2026-01-31 17:03:47,1769859227,90.2,24.6,24.65,91.38
2026-01-31 17:03:49,1769859229,99.8,24.6,24.62,91.25
2026-01-31 17:03:50,1769859230,90.0,24.6,24.59,91.38
2026-01-31 17:03:52,1769859232,99.5,24.6,24.56,91.25
2026-01-31 17:03:53,1769859233,89.9,24.6,24.54,91.62
2026-01-31 17:03:55,1769859235,100.0,24.6,24.51,91.62
2026-01-31 17:03:56,1769859236,90.0,24.6,24.47,91.75
2026-01-31 17:03:58,1769859238,100.0,24.6,24.44,91.75
2026-01-31 17:03:59,1769859239,90.0,24.6,24.41,91.88
2026-01-31 17:04:01,1769859241,100.0,24.7,24.38,91.88
2026-01-31 17:04:02,1769859242,89.3,24.7,24.35,92.12
2026-01-31 17:04:04,1769859244,95.7,24.6,24.32,92.0
2026-01-31 17:04:05,1769859245,99.5,24.6,24.29,92.38
2026-01-31 17:04:07,1769859247,89.8,24.6,24.26,92.38
2026-01-31 17:04:09,1769859249,100.0,24.7,24.23,92.62
2026-01-31 17:04:10,1769859250,90.2,24.7,24.2,92.75
2026-01-31 17:04:12,1769859252,100.0,24.6,24.17,92.88
2026-01-31 17:04:13,1769859253,89.6,24.6,24.14,93.12
2026-01-31 17:04:15,1769859255,100.0,24.6,24.11,93.12
2026-01-31 17:04:16,1769859256,89.3,24.5,24.08,93.38
2026-01-31 17:04:18,1769859258,100.0,24.6,24.05,93.38
2026-01-31 17:04:19,1769859259,89.1,24.6,24.02,93.62
2026-01-31 17:04:21,1769859261,99.7,24.6,23.99,93.5
2026-01-31 17:04:22,1769859262,90.2,24.6,23.96,93.38
2026-01-31 17:04:24,1769859264,100.0,24.6,23.93,93.38
2026-01-31 17:04:25,1769859265,90.2,24.6,23.9,93.62
2026-01-31 17:04:27,1769859267,99.0,24.6,23.87,93.62
2026-01-31 17:04:28,1769859268,94.0,24.6,23.84,93.88
2026-01-31 17:04:30,1769859270,90.8,24.6,23.81,93.88
2026-01-31 17:04:32,1769859272,100.0,24.6,23.77,94.12
2026-01-31 17:04:33,1769859273,90.2,24.6,23.74,94.12
2026-01-31 17:04:35,1769859275,100.0,24.6,23.71,94.38
2026-01-31 17:04:36,1769859276,91.3,24.6,23.68,94.62
2026-01-31 17:04:38,1769859278,2.0,24.4,23.65,92.75
2026-01-31 17:04:39,1769859279,22.9,24.5,23.62,91.0
2026-01-31 17:04:41,1769859281,1.8,24.6,23.59,88.0
2026-01-31 17:04:42,1769859282,22.7,24.6,23.56,86.75
2026-01-31 17:04:44,1769859284,2.3,24.5,23.53,84.38
2026-01-31 17:04:45,1769859285,21.7,24.5,23.5,82.75
2026-01-31 17:04:47,1769859287,2.8,24.5,23.47,80.75
2026-01-31 17:04:48,1769859288,22.3,24.5,23.44,79.88
2026-01-31 17:04:50,1769859290,4.0,24.5,23.41,78.0
2026-01-31 17:04:51,1769859291,23.7,24.5,23.39,78.12
2026-01-31 17:04:53,1769859293,1.8,24.5,23.36,76.38
2026-01-31 17:04:55,1769859295,19.2,24.5,23.33,75.62
2026-01-31 17:04:56,1769859296,11.5,24.5,23.3,74.88
2026-01-31 17:04:58,1769859298,1.3,24.5,23.27,73.62
2026-01-31 17:04:59,1769859299,20.5,24.5,23.24,73.25
2026-01-31 17:05:01,1769859301,1.0,24.5,23.21,72.0
2026-01-31 17:05:02,1769859302,20.9,24.6,23.18,71.88
2026-01-31 17:05:04,1769859304,2.2,24.6,23.16,70.62
2026-01-31 17:05:05,1769859305,21.7,24.6,23.13,70.62
2026-01-31 17:05:07,1769859307,2.5,24.6,23.1,70.0
2026-01-31 17:05:08,1769859308,21.0,24.5,23.07,70.25
2026-01-31 17:05:10,1769859310,2.0,24.5,23.05,69.0
2026-01-31 17:05:11,1769859311,21.2,24.6,23.02,69.25
2026-01-31 17:05:13,1769859313,0.8,24.6,22.99,68.0
2026-01-31 17:05:14,1769859314,21.0,24.6,22.97,68.25
2026-01-31 17:05:16,1769859316,1.8,24.5,22.94,67.25
2026-01-31 17:05:18,1769859318,18.2,24.5,22.92,67.25
2026-01-31 17:05:19,1769859319,21.8,24.6,22.89,67.62
2026-01-31 17:05:21,1769859321,1.8,24.5,22.86,66.5
2026-01-31 17:05:22,1769859322,21.4,24.5,22.84,66.75
2026-01-31 17:05:24,1769859324,2.8,24.5,22.81,65.75
2026-01-31 17:05:25,1769859325,21.7,24.5,22.79,66.25
2026-01-31 17:05:27,1769859327,2.3,24.6,22.76,65.25
2026-01-31 17:05:28,1769859328,21.5,24.6,22.74,65.62
2026-01-31 17:05:30,1769859330,1.5,24.6,22.72,64.75
2026-01-31 17:05:32,1769859332,14.3,24.6,22.69,64.88
2026-01-31 17:05:33,1769859333,20.7,24.6,22.67,65.38
2026-01-31 17:05:35,1769859335,1.8,24.6,22.64,64.5
2026-01-31 17:05:36,1769859336,21.1,24.5,22.62,65.0
2026-01-31 17:05:38,1769859338,2.2,24.5,22.6,63.75
2026-01-31 17:05:39,1769859339,21.2,24.6,22.58,64.5
2026-01-31 17:05:41,1769859341,1.7,24.5,22.55,63.38
2026-01-31 17:05:43,1769859343,19.9,24.5,22.53,63.5
2026-01-31 17:05:44,1769859344,7.3,24.6,22.51,63.0
2026-01-31 17:05:46,1769859346,10.2,24.6,22.49,63.12
2026-01-31 17:05:47,1769859347,18.9,24.5,22.47,63.38
2026-01-31 17:05:49,1769859349,2.0,24.6,22.45,62.75
2026-01-31 17:05:50,1769859350,20.5,24.6,22.43,63.25
2026-01-31 17:05:52,1769859352,1.5,24.6,22.41,62.62
2026-01-31 17:05:53,1769859353,21.3,24.6,22.4,62.88
2026-01-31 17:05:55,1769859355,1.3,24.6,22.38,61.88
2026-01-31 17:05:56,1769859356,20.9,24.7,22.36,62.25
2026-01-31 17:05:58,1769859358,1.7,24.7,22.34,61.12
2026-01-31 17:06:00,1769859360,19.5,24.7,22.32,61.75
2026-01-31 17:06:01,1769859361,6.8,24.7,22.31,61.25
2026-01-31 17:06:03,1769859363,9.7,24.7,22.29,61.38
2026-01-31 17:06:04,1769859364,20.2,24.7,22.28,61.75
2026-01-31 17:06:06,1769859366,0.7,24.7,22.26,60.62
2026-01-31 17:06:07,1769859367,21.1,24.8,22.24,60.75
2026-01-31 17:06:09,1769859369,6.8,24.7,22.23,60.38
2026-01-31 17:06:11,1769859371,12.0,24.6,22.21,60.62
2026-01-31 17:06:12,1769859372,21.1,24.7,22.2,61.12
